ID,RouteID,Lat,Lon,Sequence,DistanceTraveled
20636,2,34.854937,-82.399751,105,7315.66278989039
20637,2,34.855144,-82.400285,106,7369.61186472554
20638,2,34.855144,-82.400285,107,7369.61186472554
20639,2,34.8552402,-82.400528,108,7394.25789900407
20640,2,34.855273,-82.400611,109,7402.67324257289
20641,2,34.8553339,-82.4007799,110,7419.52538375001
20642,2,34.8557019,-82.4018412,111,7524.77306544051
20643,2,34.855869,-82.402288,112,7569.62636575083
20644,2,34.855892,-82.402429,113,7582.75862757535
20645,2,34.855892,-82.402429,114,7582.75862757535
20646,2,34.855944,-82.402531,115,7593.72759969107
20647,2,34.856094,-82.402714,116,7617.35533581433
20648,2,34.856207,-82.402834,117,7634.04048665598
20649,2,34.856364,-82.402984,118,7656.24852207382
20650,2,34.8570057,-82.4035126,119,7742.4709670406
20651,2,34.8570057,-82.4035126,120,7742.4709670406
20652,2,34.8571078,-82.4034597,121,7754.82125866238
20653,2,34.8572782,-82.4033306,122,7777.1572520982
20654,2,34.8573096,-82.4033068,123,7781.27267486766
20655,2,34.8574737,-82.40316,124,7803.93367402051
20656,2,34.8576162,-82.4029653,125,7827.76544258415
20657,2,34.857724,-82.402761,126,7849.95292809514
20658,2,34.857892,-82.40247,127,7882.45410432816
20659,2,34.858079,-82.402181,128,7916.07305313424
20660,2,34.859161,-82.40073,129,8095.16757719138
20661,2,34.859227,-82.400612,130,8108.21219070483
20662,2,34.850744,-82.39896,131,9064.51713338274
20663,2,34.849972,-82.399321,132,9156.56625269236
20664,2,34.8496944,-82.3994465,133,9189.5267898685
20665,2,34.849618,-82.399481,134,9198.59617079048
20666,2,34.8493323,-82.3996114,135,9232.55809305039
20667,2,34.849184,-82.399679,136,9250.18414977755
20668,2,34.8488203,-82.3998508,137,9293.60662530249
20669,2,34.848695,-82.39991,138,9308.56655030162
20670,2,34.8484822,-82.4000144,139,9334.10322666933
20671,2,34.8483379,-82.4000782,140,9351.19143466869
20672,2,34.847587,-82.40041,141,9440.10752859931
20673,2,34.8471513,-82.4006111,142,9491.97230630888
20674,2,34.846493,-82.400915,143,9570.3369874793
20675,2,34.846392,-82.400971,144,9582.68947308332
20676,2,34.8461845,-82.4011174,145,9609.38094314403
20677,2,34.8461845,-82.4011174,146,9609.38094314403
20678,2,34.845958,-82.401324,147,9640.87688062628
20679,2,34.845895,-82.401377,148,9649.39888679867
20680,2,34.845834,-82.40143,149,9657.73875490953
