ID,RouteID,StopID,StopSequence
114,2,45,0
115,2,44,1
116,2,43,2
117,2,42,3
118,2,41,4
119,2,40,5
120,2,46,6
121,2,31,7
122,2,32,8
123,2,33,9
124,2,34,10
125,2,35,11
126,2,36,12
127,2,37,13
128,2,38,14
129,2,30,15
130,2,29,16
131,2,28,17
132,2,27,18
133,2,26,19
134,2,25,20
135,2,24,21
136,2,39,22
